region;Antofagasta;Araucanía;Arica y Parinacota;Atacama;Aysén del Gral. Carlos Ibáñez del Campo;Biobío;Coquimbo;Libertador Gral. Bernardo O'Higgins;Los Lagos;Los Ríos;Magallanes y de la Antártica Chilena;Maule;Metropolitana;Tarapacá;Valparaíso;Ñuble
2005;2064,543635;1106,208033;1063,867049;576,6386427;171,2823315;5867,266312;1548,706732;940,2114158;1162,538069;505,8701455;315,3608683;1314,184203;28680,32122;749,8734981;5648,368174;578,9004056
2006;2316,22534;1391,939888;1209,268569;505,8624566;204,5151055;7071,073295;1631,867006;1022,407534;1272,413806;525,4324348;540,1278151;1691,109762;32262,13095;1302,683724;5318,01585;612,0390668
2007;2505,475802;1617,07746;1374,955908;507,0796655;258,7937249;6685,251613;1639,596518;1029,493161;1482,402162;504,8547361;617,5134267;1853,492485;28817,84441;1353,581447;5284,261027;575,4260184
2008;2309,049335;1514,66753;1345,772444;487,1106141;250,5407802;6965,852564;1691,317113;1017,555451;1849,043594;508,3265147;628,3362248;1932,585836;29251,67123;1412,393581;5623,484572;546,8557674
2009;2495,706113;1533,292173;1317,331424;649,6628889;254,1507344;7452,432502;2035,936489;1287,477296;2109,01164;517,1742311;638,6670786;2242,222693;30493,62885;1598,957049;5908,875179;659,524629
2010;2533,930115;1645,631307;1344,835356;644,4534434;288,4164065;8632,330536;2173,272764;1389,673569;3064,000207;564,7508959;985,3586382;2574,338064;31692,21688;1608,390292;5522,392192;735,224591
2011;2378,059201;1686,570373;1286,424347;633,3781008;338,8019207;8731,257949;2164,290405;1416,570118;2869,990581;566,6083754;1004,456399;2149,688535;33997,3583;1455,454206;5348,802517;733,3086809
2012;2612,832725;1811,248996;1264,851913;866,5400482;352,8711698;11282,36566;2652,946116;1712,712507;2149,829112;716,256516;920,4055547;2733,549555;36526,99252;1521,007647;7274,626269;1182,041079
2013;2102,453001;1661,682294;827,0214851;725,4964529;410,9351836;11693,04524;3977,774277;1725,757339;2085,105469;558,9063996;1298,68758;2096,414406;41811,48403;933,3203829;7254,354147;1203,461393
2014;2284,393507;1835,118223;873,0734213;760,6552304;478,5534767;9804,156788;3783,829464;1855,773474;2117,152426;596,8163967;1327,502312;2197,089356;43835,65199;1092,615777;7708,881649;1385,898936
2015;2355,67334;1922,284704;933,8663726;794,1756571;741,4392338;6886,663179;4183,058331;2113,306292;2317,050708;557,6977139;1417,790603;2286,077648;26429,72049;1128,195346;5879,269918;628,751606
2016;2308,378636;2332,412837;906,7814219;833,7270706;468,8830103;6231,822756;2448,640966;2016,10022;2004,900167;408,935356;370,0593678;1747,5064;25217,96992;1130,962335;4983,925382;762,4559764
2017;1866,662629;2707,937579;783,0462527;639,8665787;288,3081058;6921,862944;2215,658693;1878,137139;2085,433441;806,4015967;341,0303668;1425,732085;27840,52727;1213,108928;4249,592779;771,8621857
2018;1785,332686;1365,404072;746,5224148;475,483792;444,2475883;6674,806607;1809,208187;1666,801129;1081,192467;366,6585268;252,8909635;1182,835868;18590,84399;1232,72881;6919,428427;818,4269379
2019;1757,538132;1557,479638;714,8162898;439,1293691;431,3672791;6568,093346;1836,242611;1686,695412;1077,398314;391,8990305;251,8122898;1280,633812;24143,86035;1283,092064;7069,815121;1030,519594
